                                                           QUERY PLAN                                                            
---------------------------------------------------------------------------------------------------------------------------------
 Bitmap Heap Scan on customers_jsonb  (cost=92.29..16272.39 rows=5102 width=128) (actual time=7.224..75.382 rows=6997 loops=1)
   Recheck Cond: ((personal @> '{"personal": {"age": 26}}'::jsonb) AND (personal @> '{"personal": {"gender": "F"}}'::jsonb))
   Heap Blocks: exact=6733
   ->  Bitmap Index Scan on personal_gin_idx  (cost=0.00..91.02 rows=5102 width=0) (actual time=6.540..6.540 rows=6997 loops=1)
         Index Cond: ((personal @> '{"personal": {"age": 26}}'::jsonb) AND (personal @> '{"personal": {"gender": "F"}}'::jsonb))
 Planning Time: 0.227 ms
 Execution Time: 75.942 ms
(7 Zeilen)

 firstname |  lastname  | gender | age 
 QTYVHX    | OOSLZFXVNV | F      | 26
 XJFBPO    | JVHAUZZSSH | F      | 26
 FJKQRO    | ZEPEXTCZDV | F      | 26
 AZNSUW    | WRSNXJOKEO | F      | 26
 TXHHNF    | NBHPJMIGVL | F      | 26
 CKGSHN    | CMLZZSKGUX | F      | 26
 WEXKKN    | YOVDISRFXM | F      | 26
 TECIZP    | PJOKJUNVHF | F      | 26
 TCBXMA    | FDGIVEYDHW | F      | 26
 UCWCXV    | WFXUQKHDCE | F      | 26
 TKQTVQ    | VJHQXEFSGF | F      | 26
 WUFAJB    | WWCWHKTGIT | F      | 26
 NTPMGQ    | JLTABYMPMW | F      | 26
 LCWSKQ    | ZQITWUTEWJ | F      | 26
 YITFWY    | UJVZXSBKAG | F      | 26
 IBRHXQ    | TXABQVYKNA | F      | 26
 CIYMTE    | GQWLVGAZVI | F      | 26
 XMHMFI    | RIDCNSUVDC | F      | 26
 CQROHZ    | LPPSWELRVO | F      | 26
 QUCFPR    | BBONCFWTGS | F      | 26
 VPWXLS    | PJTTOFREKX | F      | 26
 ZFUPAL    | AQQPNYLPVU | F      | 26
 KFTCLO    | WLEKRRKBXS | F      | 26
 PENRJH    | IYVVSHSKDL | F      | 26
 DVYOUA    | HNWMZLYMCQ | F      | 26
 LNTAPD    | SRFUZOXSQB | F      | 26
 TAHHBC    | MGBFMKHZNF | F      | 26
 TIGAIX    | TBTNTVXBBV | F      | 26
 ROMYKY    | FEVQGFTMBR | F      | 26
 ARMKEV    | JLMMPTIRFU | F      | 26
 ZUZHPD    | YYVPMQEXSL | F      | 26
 SKEGQB    | MUCJFTNZHV | F      | 26
 VHTNUF    | GFXAEHWBSS | F      | 26
 ACJOEP    | JUSFXEZWUX | F      | 26
 FHQRJE    | GIMUJYEELM | F      | 26
 BHECGO    | RFYCGQJSUG | F      | 26
 HPZZEX    | QTBXLETLNZ | F      | 26
 EWNWJF    | XMCZVWIRXB | F      | 26
 NYUUGX    | YVQSUBAXQA | F      | 26
 PPSCIQ    | AKCCOOUSWH | F      | 26
 GSKQZR    | VNAGFPCMKI | F      | 26
 EBRSUQ    | HKIVLBCAPB | F      | 26
 ROZRLC    | PCNYRHNAOM | F      | 26
 BKGDVT    | DANPYMEKOP | F      | 26
 JNUNDU    | SEKJXJZFJN | F      | 26
 LSIFSK    | UVHLDMNVCA | F      | 26
 KBDPYO    | OCXEFKJGMO | F      | 26
 KTBBPB    | NTXUOVFBKV | F      | 26
 WIZLTI    | FLSMBHXRYO | F      | 26
 HTXOXR    | YSVDXXBPMZ | F      | 26
 YASNTR    | TPCXAOVVYQ | F      | 26
 HLRPVZ    | EHSKBJRQVV | F      | 26
 UWZHOT    | NASGTGWOSY | F      | 26
 KVGABL    | JNFFXZZXYF | F      | 26
 ASKRTM    | LEREHKJFRC | F      | 26
 NGUNRT    | OJPOFGXASP | F      | 26
 HWVCUP    | XRPHEMSYYW | F      | 26
 HSLQGI    | XNSJEVGASS | F      | 26
 SOFVZP    | VPJYBMIVVA | F      | 26
 UVCACB    | PIODZKKSGZ | F      | 26
 NKJYTG    | YGBWCOHDES | F      | 26
 AYJZAA    | CKMRHEUQQQ | F      | 26
 OHCZPQ    | BMAYJCOWJA | F      | 26
 ZDDWPV    | HVDZYWNAVT | F      | 26
 TOKLVB    | MKPZJNGJVZ | F      | 26
 TRGDCS    | FTGODBMXST | F      | 26
 EJWZCU    | LTWQOAXOLR | F      | 26
 EKIAXM    | VYCQQWFFQM | F      | 26
 IXWQZO    | UHVWUNFSGG | F      | 26
 ECOBJW    | EKSMNDPWKR | F      | 26
 OAPSFN    | ALBWBHABRP | F      | 26
 VUOPRL    | MBHDEMCLQN | F      | 26
 EXCIPB    | FKTTYQRDGK | F      | 26
 UEZYCE    | ZUSQJLCUPJ | F      | 26
 LZZCUZ    | ELROYSFXBI | F      | 26
 JXIBRI    | GHTLKWXKRJ | F      | 26
 WSHHZJ    | LAUCDZGNPP | F      | 26
 BKGXIK    | ZUWOKHTCJX | F      | 26
 SEHZZG    | VNQKEXDVKJ | F      | 26
 VHSTAJ    | GPUCINENUK | F      | 26
 UGDVRK    | RSKLBEIKTI | F      | 26
 LSRVLI    | SBOYIAWUZG | F      | 26
 YXBKJU    | RKUVHDDKJQ | F      | 26
 HELITD    | QUWFPYWVYS | F      | 26
 EIWNHL    | PLTBDJNLKD | F      | 26
 WYPCFY    | UEFBFSZCNT | F      | 26
 WCGRVN    | XGYWTWGLXJ | F      | 26
 BIPNHS    | MBMNKEIMFL | F      | 26
 GTCRKV    | MIFPIKMVWE | F      | 26
 FPVRIR    | XHQKPJSUOG | F      | 26
 KIRXSL    | GXWIPXJKZK | F      | 26
 DESUHH    | YQTILVAGYT | F      | 26
 IJJVLG    | QNIYHSCNID | F      | 26
 KVUUYY    | MYNJJCVEGO | F      | 26
 HGRLSN    | YVZIRZYBDY | F      | 26
 JHQVZV    | RPEMFSUFAO | F      | 26
 VTFDDM    | MGHDVAUUDG | F      | 26
 YIREMH    | AXCLHWAGAP | F      | 26
 CCBREO    | RYRDIRNBJD | F      | 26
 SDESHP    | WVXTGFBROF | F      | 26
 WNNYQE    | XHWHOHBEDV | F      | 26
 BUKDMM    | VRBVRPYYQN | F      | 26
 NVIVYP    | ELSAVRYXYS | F      | 26
 XOIHCQ    | RQJFKBBEKT | F      | 26
 AGQEYI    | XPCRJUWANX | F      | 26
 PTFNLT    | HWZXISHIAW | F      | 26
 UUEZIG    | FCGWRUGJZQ | F      | 26
 NIPTEM    | RIEWLYPSFN | F      | 26
 IPMITD    | PSTJGRKFHT | F      | 26
 RNXYTX    | QFINUKPNTW | F      | 26
 CKRNMX    | GWCUUYYUHP | F      | 26
 AQFQXA    | JWDOYFQRPQ | F      | 26
 FPYUJH    | NEUQQCPNYY | F      | 26
 UAWNOQ    | PMNACDFGFM | F      | 26
 CXVHUW    | GBYPSZPBOG | F      | 26
 NUFAAY    | LDZZSPRTIS | F      | 26
 LVFHTX    | RXEZLUTRTI | F      | 26
 KVAPUH    | BEPVZODMPX | F      | 26
 NBOFPU    | ETROESCYWI | F      | 26
 DTYMNO    | DVPANWTTWB | F      | 26
 FWBWNF    | ZVZQVVMFUA | F      | 26
 ASODPN    | EYMERYFNCQ | F      | 26
 FYCUJU    | HXPSLVLERS | F      | 26
 MTUAVI    | GUBUIYBLTN | F      | 26
 KVEHQD    | FHBLJCZJCH | F      | 26
 YDTGPK    | RIFFJGRNHW | F      | 26
 SYZMLI    | EHFQAISGQA | F      | 26
 MLVJCH    | MGGHBGVAQJ | F      | 26
 HFAMAT    | DOCYECAPZJ | F      | 26
 RFIGPR    | PELOGIOXFD | F      | 26
 NFEKJA    | TUSSGOKOYZ | F      | 26
 MXWGTR    | WGLMGSBCJZ | F      | 26
 JDOBQF    | YKUVUZUCZR | F      | 26
 TZAZKE    | BHHRNFLJLE | F      | 26
 UIOTPG    | VNEXAMHLVO | F      | 26
 BPPRBF    | MNXFJHVVXU | F      | 26
 VZJTFZ    | PADSQOGASL | F      | 26
 TZCSBM    | TENLFAJHWE | F      | 26
 IXZNEB    | QFOHDWJJAD | F      | 26
 EQZCMZ    | RQQVRVVTOD | F      | 26
 NRIWPT    | OFADJPDYAE | F      | 26
 YRMJOM    | MHUNFUTKGI | F      | 26
 SIHTMY    | KDPEREGKYN | F      | 26
 MMTCFI    | QXUTZLPYGF | F      | 26
 EYPTMJ    | VEXKJGJPGE | F      | 26
 HZXEMN    | CTXSZTZCEQ | F      | 26
 BJKOIN    | NWJRRNLEYN | F      | 26
 TBOEVK    | RCJZSKMMFG | F      | 26
 BOSECS    | MGIHUNPCBQ | F      | 26
 XLRQLT    | ZNRPEGNANL | F      | 26
 PSJOQU    | NMAPMRLGEJ | F      | 26
 RJWLNO    | ZEFVPQAOUR | F      | 26
 CPJVSS    | MIRLHESBXZ | F      | 26
 JTCZZP    | CLVKDWALQQ | F      | 26
 CRGAZC    | QZTKXGLASP | F      | 26
 MYRPOS    | BPTEYVJJID | F      | 26
 WIIOJX    | UFOVLJLNFK | F      | 26
 ZBMABM    | UAGCOQLQYJ | F      | 26
 HURUSB    | SLOYYAUFXR | F      | 26
 QMHVAX    | NUNNNWXBSC | F      | 26
 NEPQCB    | FLEBFHZPKD | F      | 26
 PJQARU    | KSDVOZPJNF | F      | 26
 MWBZNK    | SEXXHNJWSO | F      | 26
 JOHNHI    | QKTGEJHNWJ | F      | 26
 OYMFZC    | RVODRPZWYM | F      | 26
 TRUSYW    | MCSJFRSZAS | F      | 26
 DFFFDS    | BCMUWAVCPZ | F      | 26
 VKCANH    | PODWFIQRXX | F      | 26
 UIZGVM    | ZCVYMFLXLJ | F      | 26
 QMQIWT    | TCSJYITUMX | F      | 26
 BZQITD    | MULCKYACBZ | F      | 26
 KXFHRX    | HEDMRRVFEI | F      | 26
 BQBSYM    | HVNYOITHQD | F      | 26
 KWURIU    | SHGURQJFYV | F      | 26
 GWRVLU    | VVDBCKAZYB | F      | 26
 VLTJQX    | QMROEKFCAE | F      | 26
 VCZZWJ    | RBIXJPHPWK | F      | 26
 SXVJWJ    | JBEJXOBQTL | F      | 26
 XYKPTJ    | EECDBJRHBD | F      | 26
 XVSZPH    | ZXYBVTHQDX | F      | 26
 CEUSFY    | KTPDMTPQYX | F      | 26
 MHIEEL    | VWNUWCOIRI | F      | 26
 SHQUKN    | JCMSDICZDT | F      | 26
 RIESTG    | KUSBSRDPMH | F      | 26
 LULPQL    | GJRQVGKMPA | F      | 26
 QQWYTB    | ATFFKVHFIN | F      | 26
 NCRWIR    | OFMXXCTYBO | F      | 26
 SCPBCZ    | GQWDZDSLWK | F      | 26
 ODWHVL    | LPNIOHVVMR | F      | 26
 XZMMCF    | OXFIPRTQEI | F      | 26
 OGULBI    | QDIBAUIEPL | F      | 26
 VUVVRF    | WLZKFFQDNZ | F      | 26
 VVOTXO    | QPPTBUJAYO | F      | 26
 AVMANU    | DNXTCNOUNT | F      | 26
 KAOGNS    | ZGRCZPCFAA | F      | 26
 WTHZGP    | XQNXECZWGI | F      | 26
 STPQWI    | ZFKBWACLDE | F      | 26
 ROPPET    | HZNUZWVEFD | F      | 26
 PVAIAJ    | GKASVYVNZB | F      | 26
 AROJUK    | UURJJYDLTW | F      | 26
 VVLQPT    | ZZMCLTMLBB | F      | 26
 BOWABS    | SITSIYXUQU | F      | 26
 QNEXWJ    | IFPZQJWQVU | F      | 26
 KOZYDO    | VHXFQDPSRG | F      | 26
 IKTKZZ    | XKLTZTGBDW | F      | 26
 HIUYMR    | SICVNNAGMB | F      | 26
 ZAZKDC    | QYVPXAXJZS | F      | 26
 EZUDOL    | LMVDOTOQJY | F      | 26
 OAIJXL    | YOCVMFHKPJ | F      | 26
 PBVJUD    | RUYJMPNKAA | F      | 26
 JJYLGA    | AWQSHCVZWU | F      | 26
 PNWAKN    | MYDUEMGCVT | F      | 26
 QXXVDZ    | XZQEEZSSXY | F      | 26
 XUPPEA    | UTWAYCBZGR | F      | 26
 BLXROF    | DEZQUDUFQY | F      | 26
 DTYOOE    | LWEPFHJXKA | F      | 26
 YDDCII    | FNJOSFTFXE | F      | 26
 JXDHWP    | ZHFCMLYSCM | F      | 26
 JXHHSY    | DMAONMBKXZ | F      | 26
 SMLXPR    | SHJIFCLFCR | F      | 26
 PFFCPE    | SEJYLDEQTX | F      | 26
 PWXXNM    | ZNSSDKDDQB | F      | 26
 VUXXBA    | HHJICUPZCJ | F      | 26
 AAOAHV    | KQYFGYHQMO | F      | 26
 DBTRTX    | QXJXNYWJOW | F      | 26
 SYHFMX    | LTVOCAGBZI | F      | 26
 OPEQEF    | YBLYMEOBWE | F      | 26
 FYYUKR    | LFIKGAUGGN | F      | 26
 UGNMXE    | LWIHQJSZHS | F      | 26
 NBKDGF    | JXGQBSERHI | F      | 26
 SOXIDB    | ZVRVQWLEQD | F      | 26
 QBAKZF    | RHRNESEDFS | F      | 26
 MVWMVA    | RAPACVVRAI | F      | 26
 RPLAIK    | YDTLLYKJHL | F      | 26
 UPKVOV    | ZSTAZAVVNT | F      | 26
 DKFYEI    | AHCKGLOIWS | F      | 26
 NLMYQI    | YIQHLDKXQR | F      | 26
 VPOOLU    | VBKYXOXRHU | F      | 26
 GFDZDH    | GJJBRNXGLD | F      | 26
 RCACQP    | MQGPJCSJCP | F      | 26
 SJGBRS    | ZVKUBDXGVN | F      | 26
 YPQGHY    | ZREVWJDUUL | F      | 26
 XZFHGR    | CXYPDWJLIC | F      | 26
 UPZASU    | AJJRTYBTTJ | F      | 26
 FZQNUV    | KZNTWWCGBC | F      | 26
 MWXKND    | XLUPNNNPBV | F      | 26
 MMTRXN    | RPSTZBOVCZ | F      | 26
 TNAKOT    | FIOUCPJKPV | F      | 26
 VTNKCO    | KJRKINHBQJ | F      | 26
 RJNFXN    | JRQXZPOJOV | F      | 26
 XDQUIU    | PAWYRJALKF | F      | 26
 UZOPOO    | LMGVNSGTXA | F      | 26
 AWRFQP    | KAREKYTCWK | F      | 26
 KGLBLE    | WEZJYGZNKB | F      | 26
 WODSCF    | XGTFNDYSZV | F      | 26
 VUUJLS    | CJYTTADRJF | F      | 26
 KBORKJ    | DHULCJKJCQ | F      | 26
 GWTXWI    | JHLJOWGZTG | F      | 26
 URKUOF    | ODXEHRITXV | F      | 26
 EIHSLT    | WSSAMXEGGE | F      | 26
 IMKFDQ    | NZWSEFIDXW | F      | 26
 AQUNMO    | FTIGJZZPCO | F      | 26
 GWTJYJ    | EFCTWVDQCD | F      | 26
 PDCLZX    | FQSEAUGEFJ | F      | 26
 IYLZXM    | ZDMXRJOTJO | F      | 26
 PATLSB    | SGHJREVSDB | F      | 26
 GVSAZD    | YTHLOPIMTF | F      | 26
 ATRGPJ    | QWILKZZFDO | F      | 26
 YLKWIM    | UVMHPRPDDW | F      | 26
 ACSYHD    | TTZJXOPMFG | F      | 26
 VWFTIW    | OXUZHYWNYH | F      | 26
 CEQYMP    | ENIGRKONLA | F      | 26
 IAIISJ    | OLQOEMMIAR | F      | 26
 TISIHS    | FBYONEFEHB | F      | 26
 OITLFC    | NUJTIFESZD | F      | 26
 ULGUUO    | SQXMMZXPHD | F      | 26
 OWUUSA    | CSWOHRNOWD | F      | 26
 ZGZRBC    | DKOYHSJYRF | F      | 26
 UMZJLY    | JRCOAOWQAQ | F      | 26
 WKKXGK    | QPGBFVTNDT | F      | 26
 OQOIXV    | IQEGEXANND | F      | 26
 KMEYUA    | TLCDTDRYSN | F      | 26
 ACUFBX    | IYVZDDGIXW | F      | 26
 JIJMZN    | JOXUKWOMJP | F      | 26
 KYRXSR    | PEKUJPCHWF | F      | 26
 SEQIHW    | CIKASKDKSN | F      | 26
 CTJYJA    | UZHRWTSZAR | F      | 26
 MBZWZO    | GIIJLRTYBZ | F      | 26
 OGRUZT    | ZOMSIEMRBU | F      | 26
 DLEGOU    | BTSRCAJMRD | F      | 26
 DCQDZA    | BRDPTDFQHW | F      | 26
 DHKGEX    | QUEEGJHJRR | F      | 26
 WUWAZN    | VMEJPCDPKA | F      | 26
 CUMVSX    | WWOADMWUDQ | F      | 26
 TRLMHV    | NLKFDEOBGN | F      | 26
 URFASR    | NLSYJCTNLL | F      | 26
 RUSVIH    | HWJPRDBTMJ | F      | 26
 SWYTQF    | BLFRYQXZAI | F      | 26
 OJBGFP    | YPJCAFBLQC | F      | 26
 GFGRCJ    | HATMELAFFO | F      | 26
 IBSLPV    | VBLHCJCWTS | F      | 26
 ZFAYTB    | DVEOAUSWVZ | F      | 26
 HYSSIG    | EMNHTDSEBG | F      | 26
 DSPYIJ    | MEZANPMEKP | F      | 26
 NTHRMO    | DHGJZSGPFI | F      | 26
 DQSYCT    | SEEIESCAVS | F      | 26
 VKNWLP    | GLKCIQQSXO | F      | 26
 TUCXEZ    | DENGYONIUJ | F      | 26
 XPAKER    | MPAHINNHAD | F      | 26
 FOJEQJ    | CTEJLEHYLL | F      | 26
 DXYRZM    | WWGHAYTROE | F      | 26
 UZJWFX    | RBOAUHYXJF | F      | 26
 MAANYY    | HOUJHAWJMN | F      | 26
 VYDDVA    | RGGQZPLHFT | F      | 26
 AKHNLY    | KANNWLPUAF | F      | 26
 UCCTTG    | KWVQONGTGE | F      | 26
 LKAOMO    | NALMRNRNTM | F      | 26
 AXQGDH    | RHTLAESYAG | F      | 26
 IRNPLT    | MLXPNQUNKO | F      | 26
 JZRWZZ    | QGXXHRQGHQ | F      | 26
 GSHGRP    | STSTGYQEVY | F      | 26
 RNDZWU    | VRRQWKVQVA | F      | 26
 PKDFNA    | TNOBLPREEB | F      | 26
 KUIOTD    | LLYLWKYRDS | F      | 26
 YIDXCX    | JWAGZMPEPA | F      | 26
 XCVYVM    | FNRILUQSOJ | F      | 26
 UTCYCI    | EFLFIWWPIG | F      | 26
 HCIIZW    | ZHHQXDZQSG | F      | 26
 JOIRJT    | KYPDQUNZGJ | F      | 26
 EBDQFR    | UVQANAIAYG | F      | 26
 JXYQOT    | UAQZUFXOCM | F      | 26
 KXYPLU    | KVKJRNFKJL | F      | 26
 VQXCEF    | GQBUFNJSXH | F      | 26
 JVTCRF    | MSOHAVZOVY | F      | 26
 HMWYBB    | CWPRTCLBMJ | F      | 26
 GQFRNJ    | RTYXJDRQYS | F      | 26
 IAESVW    | EFPQOMPCAH | F      | 26
 LNJWDI    | AJTHRRYGBJ | F      | 26
 TFHIFO    | QINKELQBSE | F      | 26
 JXUKUC    | VHJKKSGEZI | F      | 26
 TQJJIK    | QWCMRIEOVH | F      | 26
 FMGRXP    | NDPEWPJIWO | F      | 26
 XAMZNT    | FZZDAQWAIO | F      | 26
 EEVIHW    | KUGZRJMHAH | F      | 26
 YMRUWM    | BWEKILLQZY | F      | 26
 IPBXDJ    | WGABVQCAEH | F      | 26
 MBOIUZ    | HMPRZNPUUF | F      | 26
 FLLYTG    | QRJXTVSBFF | F      | 26
 DVCKBD    | LHGWSGCUKW | F      | 26
 LXNYBN    | HQDUCVUMMJ | F      | 26
 IFYHAP    | ALUQYXYDQR | F      | 26
 YNSNMP    | AISYWOKLMH | F      | 26
 IJGWNU    | CTSGFRORYF | F      | 26
 KMWRQA    | XXZLQGYOLA | F      | 26
 DLMBHT    | ZPBMAYGVAT | F      | 26
 FJYJGS    | TVAQUHFAOX | F      | 26
 QTHSSS    | YHPBBSAMAQ | F      | 26
 JDYICO    | TQPEPPHCGV | F      | 26
 PMAPOQ    | PGKNWTPDSQ | F      | 26
 AWEOJL    | MGFDUTCKRV | F      | 26
 JNHZBO    | GCQSKGJFLA | F      | 26
 WCSMJZ    | QSMDOOIIVK | F      | 26
 NYBPPR    | DVIBUSLEJE | F      | 26
 URZJXY    | VPFIYHXKMG | F      | 26
 KOIWRT    | LUCNWKJQWE | F      | 26
 WJQCBW    | RCHRSJLDYC | F      | 26
 ZHQUDC    | XPDVWZLVXQ | F      | 26
 OMTTED    | QCHNILENJN | F      | 26
 EAVSKL    | CNWOXWVOBW | F      | 26
 IYOQXW    | MVLNBQHJSK | F      | 26
 LQVRHJ    | ENKNKUXIXE | F      | 26
 DRLMKW    | NZIMCCUTYC | F      | 26
 BCGDZJ    | IGFDWPRXDT | F      | 26
 ONWWNA    | JSXTEMAKWP | F      | 26
 HSIZMG    | SJAMLOQFLB | F      | 26
 XEBEUV    | PQWIFVUJHT | F      | 26
 RHPDHK    | IOTABXRAGG | F      | 26
 JCUBTP    | VESIQIOIRM | F      | 26
 SXWCHM    | RCQLFVRJHC | F      | 26
 BKYPPS    | ICFAEIJQVR | F      | 26
 RSMAZQ    | RWVNTNQATX | F      | 26
 ZCDRWQ    | KHXNINUWZC | F      | 26
 YKHJCL    | YHWUUWUMER | F      | 26
 VSCIPX    | BGSVVYQBSD | F      | 26
 KHBFVJ    | ZSOTHUWFZK | F      | 26
 DEKHUM    | NCGTLHVSBP | F      | 26
 WYZDPN    | ETXIFQNSZP | F      | 26
 ZKQOZS    | IDIVIOEOJN | F      | 26
 FUXQPW    | IMPDFWNOIQ | F      | 26
 DHVJAO    | UGEPFFLWKZ | F      | 26
 GAGOVZ    | MNYHHIILDH | F      | 26
 PFPZXU    | SBSQDXXDGJ | F      | 26
 ELDSWX    | AVGTQTQKLM | F      | 26
 MEJFWD    | RRVPHZIZFR | F      | 26
 FYDBJT    | SIJNXNTOCR | F      | 26
 FXAOYR    | AYSIKBJPCW | F      | 26
 XKSZUO    | XMXORUITAL | F      | 26
 AKNDQR    | GBEXLXQGPM | F      | 26
 CXHUCS    | LYPYXSFKHA | F      | 26
 GXQWAD    | LIPBNVPBMH | F      | 26
 XDVSBR    | OUMURYMKGO | F      | 26
 YRWUDJ    | KSNVVWWSEY | F      | 26
 RLPHOX    | WHDDLFAJMV | F      | 26
 XSSABU    | LAMXJLNSIK | F      | 26
 KNIPZT    | CRBGMATICS | F      | 26
 BUCVQF    | FJCZVGAHER | F      | 26
 NIFFAM    | JOIRHGPAUO | F      | 26
 DBTHSG    | PZDGWUHLIX | F      | 26
 ZIUFPS    | OXPSGNNXMV | F      | 26
 KIJUEL    | SQZDKXBLNH | F      | 26
 ZRKYPK    | IXOTBJACSV | F      | 26
 XMKLRM    | XJQKOPNXEI | F      | 26
 YHTCJZ    | TUJYWHRVTV | F      | 26
 HBLHFY    | IZUNNZTDQI | F      | 26
 MLMRRO    | SUYNUCHTHK | F      | 26
 HPRTAP    | DAKYIEGZTK | F      | 26
 RURDYT    | PAQOUHSTGQ | F      | 26
 MONBAN    | CWMZWWFDFX | F      | 26
 BDHGPZ    | QSEZALUGIS | F      | 26
 JLNTLN    | FYLDHCFDWY | F      | 26
 XCCVPV    | CHOMDIYMLO | F      | 26
 TQXMKP    | EXTBVRXUVP | F      | 26
 XNMARF    | YAYRPWHINU | F      | 26
 LWHOVY    | BFEPQMPUYR | F      | 26
 KNLKWC    | NVCCWNTWSV | F      | 26
 JPCRUG    | UIBXCAQRSK | F      | 26
 JJEVIV    | WEMJMIWCEI | F      | 26
 LMPNYD    | IHFTQEZFGR | F      | 26
 AHGBVP    | HBNJUYNJZI | F      | 26
 QNNTYM    | FBJRCRRAPQ | F      | 26
 RIMAUJ    | QAGQIKPMIO | F      | 26
 QZONCG    | FTFBKVABDC | F      | 26
 IBUKRH    | NZIVCQBUJW | F      | 26
 RYPRWD    | ZPHQARDDCB | F      | 26
 ZGIVTL    | YYRGETQILU | F      | 26
 INQVPA    | YZQRLRHDQJ | F      | 26
 QIQHHU    | ZONENORIQF | F      | 26
 DAZYBJ    | BMGLJHLLYK | F      | 26
 MXDSOW    | YADZKUPAJH | F      | 26
 WHYRBP    | WXNFALFOTX | F      | 26
 FHXZAO    | QFUWLNZIDF | F      | 26
 YIPRGI    | DWOHUAKVUE | F      | 26
 GMCCQM    | DDLJRAXQIA | F      | 26
 CMILVT    | PPZYMIUXGA | F      | 26
 KFDGBP    | EVADMAMQEB | F      | 26
 SEWGAF    | PDQHOBCCRY | F      | 26
 MEJZVA    | DTGUPNXXAS | F      | 26
 ONSOXQ    | OAWOQSBMLP | F      | 26
 YHGMHW    | OQMBQDJZKW | F      | 26
 SYCPLK    | TMMWVDSTBX | F      | 26
 ZUFQIK    | XLHYWEZCJD | F      | 26
 MLBMVY    | YBGDQJXBWJ | F      | 26
 ZJKAVO    | KDHLRCTWTB | F      | 26
 AYVHCP    | MMCDUTKMOP | F      | 26
 RFWRHE    | REYHOCYIDA | F      | 26
 WHMRHM    | IZSDLEDSPD | F      | 26
 EQJSSM    | RDTQRQIKRD | F      | 26
 CMUHAW    | WACALIVKKJ | F      | 26
 BTPORB    | HXGHFHRRQA | F      | 26
 YKZFXC    | PPHASGJAXG | F      | 26
